iter	Logloss
0	0.6890647596
1	0.6850803586
2	0.6812237112
3	0.6778325213
4	0.6752050718
5	0.6725315132
6	0.6700978496
7	0.6678150727
8	0.6657454859
9	0.6642279488
10	0.6627659057
11	0.6613996937
12	0.6601209886
13	0.6590796098
14	0.6577319366
15	0.6566582379
16	0.655742337
17	0.6548593666
18	0.6541636458
19	0.6534419859
20	0.6527425143
21	0.6519769964
22	0.6514671487
23	0.6508057225
24	0.6502040591
25	0.6496198165
26	0.6491056421
27	0.6485611717
28	0.6482003831
29	0.647581543
30	0.6472531249
31	0.6469218421
32	0.6466160739
33	0.6461655102
34	0.6457858092
35	0.6453321247
36	0.645110831
37	0.6448543775
38	0.6446099993
39	0.6442711477
40	0.6439988916
41	0.643694613
42	0.6433507257
43	0.6431597846
44	0.642870463
45	0.6426391198
46	0.6424532081
47	0.6423051371
48	0.6421026027
49	0.6419556181
50	0.6417331942
51	0.6415687987
52	0.6414120458
53	0.6412512722
54	0.6410191452
55	0.6408365047
56	0.6406028167
57	0.6403895247
58	0.6402326562
59	0.6400726675
60	0.6399055157
61	0.639781597
62	0.6396063356
63	0.6393181117
64	0.6391642522
65	0.6390852952
66	0.6389659408
67	0.6388166257
68	0.6386990662
69	0.6385144191
70	0.6383993465
71	0.6382544288
72	0.6381369935
73	0.6380250364
74	0.6378787702
75	0.6377624194
76	0.6376769459
77	0.6375578796
78	0.6374420575
79	0.6373862351
80	0.6373359303
81	0.6372598823
82	0.6370891641
83	0.6370006772
84	0.6368730921
85	0.6367852766
86	0.6366770072
87	0.6365994737
88	0.6364443068
89	0.6363600762
90	0.6362202913
91	0.6361839588
92	0.6361261702
93	0.6360841975
94	0.6360242835
95	0.6359423733
96	0.6358407779
97	0.6356521054
98	0.6355483876
99	0.6354471219
100	0.6353773856
101	0.6353336114
102	0.6352692495
103	0.6351945372
104	0.6351429322
105	0.6350839879
106	0.6349704687
107	0.6349134536
108	0.6348644291
109	0.6347688101
110	0.6346663155
111	0.6345865916
112	0.6345231083
113	0.6345231081
114	0.6344372696
115	0.634388366
116	0.6343184081
117	0.634228522
118	0.6341743203
119	0.6341004987
120	0.6340690291
121	0.6340680073
122	0.6340078353
123	0.6339750151
124	0.6339335066
125	0.6337387179
126	0.6337175768
127	0.6335227045
128	0.6334679817
129	0.6334431728
130	0.6334027351
131	0.6333989604
132	0.6333475966
133	0.6333026437
134	0.633273665
135	0.6332393336
136	0.6332074409
137	0.6331629067
138	0.633140794
139	0.6331205936
140	0.633082864
141	0.6330278671
142	0.6329865002
143	0.6329577345
144	0.6329335577
145	0.6329023188
146	0.6328246037
147	0.6327926811
148	0.632770989
149	0.6327385735
150	0.6327277675
151	0.6326956403
152	0.6326763282
153	0.6326069322
154	0.6325576526
155	0.6325505727
156	0.6325366802
157	0.632524589
158	0.6324476575
159	0.6324460935
160	0.6324308221
161	0.632429723
162	0.6324148469
163	0.6323714718
164	0.632347332
165	0.6323402259
166	0.6323168326
167	0.6323057458
168	0.6322668692
169	0.6322368228
170	0.6321781436
171	0.6321781435
172	0.6321446337
173	0.6320917439
174	0.6320387964
175	0.6320148823
176	0.6320127551
177	0.6319826741
178	0.6319732197
179	0.6319443556
180	0.6319233029
181	0.6319164254
182	0.6319151991
183	0.6318497858
184	0.6317800609
185	0.6317700518
186	0.6317499876
187	0.6316818997
188	0.6316637177
189	0.631598381
190	0.6315950407
191	0.6315950395
192	0.6315901096
193	0.6315254046
194	0.6315251924
195	0.6315016973
196	0.6314434717
197	0.6314119328
198	0.6313383528
199	0.6313252281
200	0.6312975274
201	0.6312297121
202	0.6311741058
203	0.631144537
204	0.6311335336
205	0.631083352
206	0.6310662388
207	0.631011192
208	0.6309943085
209	0.6309599043
210	0.630907619
211	0.6308994112
212	0.6308774216
213	0.6308714284
214	0.6308714247
215	0.6308625793
216	0.630815502
217	0.6308006741
218	0.6307700057
219	0.6307202749
220	0.6307041872
221	0.630697652
222	0.6305950054
223	0.6305938354
224	0.6305927425
225	0.6305860842
226	0.6305673698
227	0.6305545325
228	0.6304909958
229	0.6304864445
230	0.6304811128
231	0.6304711461
232	0.630395011
233	0.6303781761
234	0.6303750308
235	0.6303720115
236	0.6303193994
237	0.6302680855
238	0.6302470897
239	0.6302438161
240	0.6302351125
241	0.6302177663
242	0.6301794101
243	0.630175421
244	0.6301653792
245	0.63013196
246	0.6301209907
247	0.6301003704
248	0.6300363954
249	0.6300162438
250	0.6300032185
251	0.6299583281
252	0.6299507559
253	0.6299194936
254	0.6299162798
255	0.6299079831
256	0.6299079828
257	0.6298976568
258	0.6298896132
259	0.6298812602
260	0.6298735859
261	0.6298674112
262	0.6298592284
263	0.6298589526
264	0.6298284771
265	0.6297886717
266	0.6297790666
267	0.6297657687
268	0.6297464727
269	0.6297059784
270	0.6296289563
271	0.6296106452
272	0.6295878773
273	0.6295804404
274	0.6294934178
275	0.6294706927
276	0.6294523265
277	0.6294077778
278	0.629394956
279	0.6293788345
280	0.6293383174
281	0.6293237977
282	0.6292739784
