iter	Passed	Remaining
0	674	538858
1	1182	471832
2	1583	420714
3	2038	405626
4	2491	396087
5	2953	390809
6	3379	382894
7	3817	377980
8	4282	376379
9	4788	378309
10	5155	369795
11	5551	364565
12	5948	360093
13	6352	356662
14	6785	355100
15	7206	353129
16	7634	351644
17	8153	354238
18	8632	354834
19	9104	355068
20	9530	353533
21	10031	354747
22	10404	351475
23	10814	349663
24	11228	348068
25	11646	346710
26	12045	344853
27	12414	342281
28	12749	338954
29	13163	337873
30	13696	339752
31	14168	340039
32	14562	338472
33	15021	338418
34	15536	339590
35	16034	340285
36	16575	341817
37	17094	342794
38	17655	344499
39	18190	345618
40	18642	345109
41	19102	344748
42	19467	342714
43	19946	342718
44	20450	343112
45	20954	343475
46	21482	344176
47	21930	343583
48	22445	344007
49	22967	344514
50	23493	345035
51	24082	346413
52	24620	347005
53	25140	347316
54	25676	347797
55	26251	348765
56	26797	349310
57	27365	350094
58	27820	349402
59	28327	349371
60	28795	348845
61	29294	348693
62	29874	349485
63	30360	349150
64	30862	348979
65	31340	348539
66	31905	349051
67	32387	348639
68	32910	348664
69	33463	348973
70	33786	346907
71	34232	346133
72	34743	346009
73	35224	345576
74	35679	344900
75	36192	344777
76	36987	347301
77	37781	349716
78	38431	350744
79	38888	350000
80	39346	349260
81	39798	348482
82	40284	347999
83	40767	347495
84	41155	346187
85	41613	345491
86	42110	345115
87	42606	344724
88	43018	343663
89	43516	343300
90	43931	342276
91	44359	341378
92	44801	340587
93	45336	340503
94	45798	339875
95	46268	339303
96	46672	338255
97	47089	337316
98	47523	336503
99	47921	335450
100	48385	334869
101	48834	334179
102	49246	333252
103	49647	332256
104	50069	331413
105	50570	331093
106	50970	330118
107	51403	329364
108	51868	328814
109	52393	328648
110	52795	327712
111	53155	326528
112	53573	325707
113	53649	322836
114	54071	322077
115	54454	321091
116	54863	320272
117	55287	319541
118	55706	318792
119	56219	318578
120	56631	317790
121	56776	315529
122	57207	314875
123	57616	314104
124	58142	313966
125	58520	313036
126	58918	312223
127	59396	311830
128	59794	311024
129	60186	310193
130	60609	309524
131	60831	307846
132	61302	307433
133	61769	307005
134	62200	306396
135	62662	305939
136	63145	305585
137	63553	304874
138	64016	304424
139	64490	304026
140	64914	303393
141	65367	302898
142	65808	302350
143	66278	301936
144	66695	301279
145	67164	300859
146	67638	300463
147	68049	299783
148	68422	298944
149	68874	298455
150	69367	298143
151	69788	297518
152	70160	296692
153	70649	296361
154	71109	295906
155	71548	295365
156	71961	294721
157	72384	294118
158	72836	293638
159	72978	291913
160	73440	291481
161	73652	290064
162	74134	289715
163	74617	289369
164	75085	288965
165	75488	288310
166	75895	287674
167	76298	287026
168	76752	286571
169	77210	286134
170	77653	285638
171	77737	283831
172	78179	283344
173	78685	283085
174	79188	282816
175	79647	282386
176	80026	281675
177	80434	281069
178	80858	280518
