utm_campaign,n,k,cr,ci_low,ci_high,rank_by_volume,rank_by_cr
emlBaVkgLVRqbEVOSSXt,963,145,0.1505711318795431,0.1293737652429003,0.17454530485089795,79,1
EiQppLFrUZrUsjXVulLg,1252,110,0.0878594249201278,0.07341229512974333,0.10482801797980808,69,2
WJUKqfeOrjXIOHjgcgdR,1146,76,0.06631762652705062,0.05331069993776308,0.0822224030565972,73,3
QKpFeggpjKAvhtjHKHZC,622,40,0.06430868167202572,0.04757915388741084,0.08638701263140157,97,4
DsqwamlMwRgMTyspCjFR,2829,172,0.0607988688582538,0.05257455064567431,0.07021438326436148,43,5
YDIkQmcjRkpdxGbLLtNN,2651,161,0.060731799321010936,0.052259912014980044,0.07047494342799629,45,6
qTERPbkOaRvjtQXXEwdb,552,33,0.059782608695652176,0.0428818544523366,0.08276833078029083,102,7
QejVLgNgzFMqjZPsnfxa,1724,89,0.05162412993039443,0.042140232065600934,0.06310182253014442,54,8
TIRYvHSoLonAvRZefPmz,950,46,0.04842105263157895,0.03649639485857512,0.0639831816245642,80,9
ngkgBNjlzLYBofkljaBo,1615,73,0.04520123839009288,0.03610301016259787,0.05645799148203494,55,10
jfLxUKobDdJlutbwyjaU,903,39,0.04318936877076412,0.03175278678571397,0.05849627104312845,83,11
hkvDVxqLOzGjGaoNiNzN,4445,184,0.04139482564679415,0.03592382049517084,0.04765784714613156,34,12
LTuZkdKfxRGVceoWkVyg,463481,19006,0.04100707472366721,0.04043994622892404,0.0415818119557993,1,13
kwdmElMUPDZaLQdgjcsI,1107,45,0.04065040650406504,0.030517646947270893,0.05396028401966445,74,14
HEimDfYZIzuQXDZAAcEW,3987,139,0.03486330574366692,0.029602280095675157,0.041019816256131936,37,15
gecBYcKZCPMcVYdSSzKP,134042,4545,0.03390728279196073,0.03295163425620892,0.03488964669256167,4,16
eimRuUrNhZLAYcwRrNXu,7784,258,0.03314491264131552,0.029392628944958806,0.03735777851068332,20,17
LEoPHuyFvzoNfnzGgfcd,324044,9348,0.028847934231153793,0.028277187563348,0.029429851951770312,2,18
NSbcaLfXREiOVOXTmbnD,1356,39,0.028761061946902654,0.02110976699409776,0.03907488980710615,63,19
sbJRYgVfvcnqKJNDDYIr,20188,575,0.028482266693085,0.026275760936502385,0.030868189717310195,9,20
