brand,model,hit_cnt,uniq_sessions,cr
skoda,rapid,25919,25919,0.10609977236776111
volkswagen,polo,17921,17921,0.11768316500195301
lada-vaz,vesta,16949,16949,0.10336893032037288
skoda,karoq,12970,12970,0.06993060909791828
mercedes-benz,e-klasse,9560,9560,0.0653765690376569
nissan,qashqai,7704,7704,0.05451713395638629
kia,rio,7005,7005,0.12933618843683084
renault,duster,6961,6961,0.056601063065651484
nissan,x-trail,6923,6923,0.06138957099523328
renault,logan,6408,6408,0.10190387016229713
skoda,octavia,5406,5406,0.10284868664446911
toyota,camry,4812,4812,0.12738985868661679
kia,seltos,4729,4729,0.1110171283569465
haval,jolion,4661,4661,0.09010941857970392
kia,sorento,3879,3879,0.08919824697086878
volvo,s90,3403,3403,0.05642080517190714
lexus,rx,3247,3247,0.030181706190329536
lexus,nx,2697,2697,0.05747126436781609
volkswagen,tiguan,2607,2607,0.04756425009589567
mercedes-benz,glb,2568,2568,0.0588006230529595
mercedes-benz,g-klasse,2417,2417,0.03930492345883326
bmw,5-serii,2363,2363,0.07744392721117224
mercedes-benz,gla-klasse,2118,2118,0.05712936732766761
bmw,2-serii,2093,2093,0.03965599617773531
skoda,kodiaq,1995,1995,0.055639097744360905
porsche,cayenne,1945,1945,0.04627249357326478
bmw,x3,1839,1839,0.04948341489940185
mini,hatch,1800,1800,0.034444444444444444
volkswagen,touareg,1795,1795,0.06016713091922005
bmw,x5,1759,1759,0.0648095508811825
peugeot,traveller,1686,1686,0.059905100830367736
land-rover,range-rover,1645,1645,0.02917933130699088
bmw,3-serii,1591,1591,0.05845380263984915
mercedes-benz,c-klasse,1525,1525,0.06229508196721312
mercedes-benz,gle,1493,1493,0.044876088412592094
mercedes-benz,glc,1307,1307,0.05967865340474369
toyota,fortuner,1297,1297,0.08249807247494217
mercedes-benz,s-klasse,1224,1224,0.07026143790849673
porsche,911,1100,1100,0.025454545454545455
audi,a3,1088,1088,0.04503676470588235
mercedes-benz,gls-klasse,1044,1044,0.05938697318007663
bmw,x6,998,998,0.05911823647294589
audi,e-tron,962,962,0.034303534303534305
mercedes-benz,cla-klasse,946,946,0.08879492600422834
toyota,alphard,920,920,0.08152173913043478
audi,q5,863,863,0.0440324449594438
volkswagen,teramont,825,825,0.06181818181818182
bmw,7-serii,663,663,0.048265460030165915
bmw,x7,650,650,0.047692307692307694
toyota,land-cruiser-prado,514,514,0.10116731517509728
hyundai,solaris,434,434,0.12672811059907835
toyota,corolla,323,323,0.10835913312693499
kia,soul,276,276,0.07608695652173914
audi,a4,236,236,0.08050847457627118
kia,cerato,226,226,0.18584070796460178
renault,arkana,172,172,0.1569767441860465
volkswagen,taos,141,141,0.09219858156028368
bmw,x3-m,70,70,0.12857142857142856
kia,sportage,46,46,0.17391304347826086
honda,civic-type-r,31,31,0.0
toyota,rav-4,29,29,0.0
porsche,macan,21,21,0.0
land-rover,range-rover-velar,19,19,0.0
infiniti,qx60,19,19,0.0
bmw,x1,18,18,0.2777777777777778
volkswagen,passat-cc,12,12,0.0
bmw,x4-m,11,11,0.0
volkswagen,passat,8,8,0.25
kia,k5,5,5,0.0
land-rover,defender,2,2,0.0
porsche,panamera,2,2,0.0
mercedes-benz,v-klasse,2,2,0.0
audi,a5,2,2,0.0
mercedes-benz,cls-klasse,1,1,0.0
