geo_city,visits,conversions,cr
Domodedovo,4038,263,0.06513125309559188
Stavropol,4377,180,0.0411240575736806
Kazan,29531,1139,0.03856963868477194
Korolyov,4047,145,0.035829009142574746
Sochi,8972,316,0.03522068658047258
Krasnodar,32243,1081,0.033526656948795086
Pyatigorsk,3782,124,0.03278688524590164
Khimki,7385,236,0.03195666892349357
Grozny,12742,401,0.03147072673049757
Ufa,21679,639,0.029475529314082753
Lipetsk,4531,133,0.029353343632752153
Moscow,805329,23629,0.02934080357220465
Samara,24992,727,0.0290893085787452
Tver,3680,107,0.029076086956521738
Odintsovo,5314,152,0.02860368837034249
Rostov-on-Don,13886,397,0.028589946708915456
Krasnogorsk,3292,94,0.028554070473876064
Balashikha,12679,359,0.028314535846675606
Tula,15814,438,0.027696977361831288
Vidnoye,5358,144,0.026875699888017916
Ryazan,3475,93,0.026762589928057554
Podolsk,3621,95,0.02623584645125656
Kaliningrad,3784,99,0.02616279069767442
Perm,6293,163,0.025901795645955825
Nizhny Novgorod,22227,559,0.025149592837539928
Kaluga,3504,88,0.02511415525114155
Surgut,3124,78,0.02496798975672215
Chelyabinsk,15951,397,0.024888721710237604
Yekaterinburg,35788,887,0.024784844081815135
Yaroslavl,9833,238,0.024204210312213974
Irkutsk,13532,327,0.024164942358853088
Saint Petersburg,296788,7113,0.02396660242327857
Izhevsk,5193,123,0.02368573079145003
Novosibirsk,21568,509,0.023599777448071218
Mytishchi,5284,123,0.0232778198334595
Saratov,7120,165,0.023174157303370788
Krasnoyarsk,16346,376,0.023002569435947633
Khabarovsk,3980,90,0.022613065326633167
Volgograd,3974,88,0.02214393558127831
Omsk,4130,88,0.021307506053268765
Zheleznodorozhny,4916,103,0.0209519934906428
(not set),78172,1588,0.020314178989919666
Voronezh,13908,282,0.020276100086281276
Vladivostok,12325,249,0.020202839756592293
Tyumen,8534,153,0.017928286852589643
Dublin,4021,0,0.0
