utm_campaign,visits,conversions,cr
LTuZkdKfxRGVceoWkVyg,463481,19006,0.04100707472366721
gecBYcKZCPMcVYdSSzKP,134042,4545,0.03390728279196073
eimRuUrNhZLAYcwRrNXu,7784,258,0.03314491264131552
LEoPHuyFvzoNfnzGgfcd,324044,9348,0.028847934231153793
sbJRYgVfvcnqKJNDDYIr,20188,575,0.028482266693085
jqlUOdZBNZYfInQVcZlS,6388,178,0.02786474639949906
WiILFRDQbcHDHNvHzGpX,5793,150,0.02589331952356292
MXqmDyetMTICSSitTjWV,7038,157,0.02230747371412333
zxoiLxhuSIFrCeTLQVWZ,12370,270,0.021827000808407437
UvuMsOSDBWQGOIbDbXfV,5130,109,0.02124756335282651
QdLfySaGXolfTBSNVfHn,7498,151,0.020138703654307817
nSReTmyFtbSjlPrTKoaX,11611,232,0.01998105245026268
JwYIveaHVpeeRZloQCfF,6548,128,0.019547953573610263
YCKgTzTDywjcWyQudGch,12041,235,0.019516651440910224
XHNUiSKKGTEpSAlaVMFQ,24524,401,0.01635132931006361
SgIUDYUKnyWHVowUOqid,22841,373,0.016330283262554177
PXQWdUxeUoXfoKzTBGpY,6901,112,0.01622953195189103
LwJZxKuWmvOhPsaCeRjG,17615,285,0.0161793925631564
IKQsApKuPmZqqmhieEgf,5607,81,0.014446227929373997
bJJuEXRheRIxXEaYIXqM,12232,175,0.014306736429038588
vXsFkagGabkcWKlgLzSg,5133,73,0.01422170270796805
QEejXfOCtOMFLZqIPApp,10172,134,0.013173417223751475
RoDitORHdzGfGhNCyEMy,15706,204,0.012988666751559913
jvsVVQVKRfBIqBDBuCkq,7950,102,0.012830188679245283
FTjNLDyTrXaWYgZymFkV,247360,2447,0.009892464424320829
GWZGdHKPgmZPNPwkJshU,5180,44,0.008494208494208495
vRLTQQKAsFQMxbcHGPhu,9461,79,0.008350068703096925
bxOTvPtyGSdUrbwoXCPO,15415,120,0.007784625364904314
VBmazutCflYumtDHrQYe,7467,36,0.004821213338690237
TmThBvoCcwkCZZUWACYq,26597,123,0.004624581719742828
kVOrIKZFrEYGvixPclal,7062,30,0.004248088360237893
KgicpPxiEQfzPlPwQZJq,6939,28,0.004035163568237498
okTXSMadDkjvntEHzIjp,24511,77,0.0031414466974011668
