utm_source,visits,conversions,cr
ZpYIoDJMcFzVoPFsHGJL,578290,15998,0.027664320669560254
fDLlAcSmythWSCVMvqvL,300575,10531,0.03503618065374699
kjsLglQLzykiRbcDiGcD,266354,6293,0.023626452014987573
MvfHsxITijuriZxsqZqt,186199,2249,0.012078475179780772
BHcvLfOaCWvWTykYqHVe,116320,3882,0.033373452544704266
bByPQxmDaMXgpHeypKSM,102287,5557,0.05432752940256338
QxAxdyPLuQMEcrdZWdWb,51415,1404,0.027307206068268017
aXQzDWsJuGXeBXexNHjc,31152,1827,0.058647919876733436
jaSOmLICuBzCFqHfBdRg,29241,401,0.013713621285181766
RmEBuqrriAfAVsLQQmhk,28055,139,0.0049545535555159505
vFcAhRxLfOWKhvxjELkx,24413,74,0.0030311719166018106
PlbkrSYoHuZBWfYjYnfw,20792,49,0.0023566756444786457
hTjLvqNxGggkGnxSCaTm,14598,177,0.012124948623099055
gDBGzjFKYabGgSPZvrDH,13565,2,0.0001474382602285293
fgymSoTvjKPEgaIJqsiH,9625,0,0.0
geDcueAOghDzHkGMmdOq,8680,53,0.006105990783410138
ISrKoXQCxqqYvAZICvjs,8633,141,0.01633267693733349
nSReTmyFtbSjlPrTKoaX,7285,104,0.014275909402882635
SzZERoLMmrEUEhDaYcyN,6828,22,0.003222026947861746
eLzNJHzPelJpEyBwMrKo,5386,58,0.010768659487560341
IZEXUFLARCUMynmHNBGo,4421,98,0.022166930558697128
iNFgfQPqHPBuvGCYtrQE,3532,92,0.026047565118912798
oZCzWSykfixnjMPDNjSU,3143,260,0.08272351256761057
gVRrcxiDQubJiljoTbGm,2767,80,0.028912179255511383
nmfptFmSirEqNzAzqbXA,2243,2,0.0008916629514043691
GpAkIXsclxDGyILfNlrR,2116,14,0.006616257088846881
TxKUcPpthBDPieTGmVhx,2093,0,0.0
ghoaGAksqhKomdFrxgyJ,1900,19,0.01
KgicpPxiEQfzPlPwQZJq,1761,55,0.031232254400908575
nrKihqcWGIzDsOqljdAv,1670,43,0.025748502994011976
BKeImrJuRDZcHiSSTdzm,1464,98,0.06693989071038252
DnEUulZAecfGPvdtZBYS,1420,76,0.05352112676056338
YlsczTIyBSwTLNtuDkCd,1332,19,0.014264264264264264
YclHumxPxSxgzHfvCaeF,1285,12,0.00933852140077821
klTrhUaShgnjIbaPmqjc,1197,42,0.03508771929824561
dyicZQGoeASogoSafjEh,1150,13,0.011304347826086957
HFaOtpcChAlcMuxEAlpu,1136,29,0.025528169014084508
TTtiRKFZIaQpIWggfCoF,1061,15,0.01413760603204524
XiUifkjKLLnomcDRhswp,1011,25,0.024727992087042534
faqsogjxCvbseFqupueU,1009,3,0.002973240832507433
WEXkMlsnJodrzBgKJBpG,1003,35,0.03489531405782652
fbFKcMumlScApQMqFIqp,995,1,0.0010050251256281408
oCqKpnSZJeYOVZTgTmKR,833,12,0.014405762304921969
qVXuCoVQtPxcUkAXiXBa,798,38,0.047619047619047616
GmILPdZyuAVJCPsUBHeN,648,20,0.030864197530864196
ngkgBNjlzLYBofkljaBo,633,4,0.00631911532385466
FTAuYVNoYYxgvKMpKSLW,627,21,0.03349282296650718
NwLFDlNWnYxuLZEAZppl,613,20,0.03262642740619902
eimRuUrNhZLAYcwRrNXu,522,12,0.022988505747126436
zwpKjjsMoRVCdipntaHt,400,11,0.0275
